Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
1895,7187,Który z wymienionych czynników może mieć wpływ na obserwację drogi przez kierującego ciągnikiem rolniczym?,Zmęczenie  obniżające sprawność wzroku.,Rodzaj nawierzchni  po której się porusza.,Szerokość pasa ruchu.,A,4B273.jpg,T,,,,,Which of the following factors may affect the observation of the road by a driver of a farm tractor?,Tiredness  which strains vision.,The type of surface on which the tractor is moving.,The width of the lane.,Welcher von den genannten Faktoren kann sich auf die Beobachtung der Straße durch den Fahrer einer landwirtschaftlichen Zugmaschine auswirken?,Müdigkeit  die die Sehleistung vermindert.,Art der Straßendecke  auf der er sich bewegt.,Breite des Fahrstreifens.,,,,,"<img src=""4B273.jpg"">"
1896,7188,Co może zakłócić właściwy sposób obserwacji drogi  gdy w nocy kierujesz ciągnikiem rolniczym?,Brak zdolności rozróżniania kształtów w mroku oraz wrażliwość na oślepienie.,Używanie właściwych okularów do jazdy nocnej.,Właściwa ostrość wzroku kierującego.,A,4B274.jpg,T,,,,,What factors may be an obstacle for proper observation of the road by a driver of a farm tractor driving at night?,Inability to distinguish shapes in the dark and sensitivity to being blinded.,The use of proper glasses for driving at night.,The sharpness of the driver’s vision.,Welche Faktoren können die Beobachtung der Straße beim Führen einer landwirtschaftlichen Zugmaschine in der Nacht beeinträchtigen?,Fehlende Fähigkeit  Umrisse in Dunkelheit zu erkennen und Blendempfindlichkeit.,Nutzung der entsprechenden Brille für Nachtfahren.,Richtige Sehstärke des Fahrers.,,,,,"<img src=""4B274.jpg"">"
1897,7189,Jaka adnotacja jest wymagana w dowodzie rejestracyjnym  aby ciągnik rolniczy wchodzący w skład kolejki turystycznej mógł być dopuszczony do ruchu?,O ograniczeniu prędkości konstrukcyjnej do 25 km/h.,O wyposażeniu w dodatkowy hamulec hydrauliczny.,O zezwoleniu na przewóz osób w celach turystycznych.,A,4C204.jpg,T,,,,,What endorsement is required in a registration card for a tractor constituting a part of trackless train to be considered roadworthy?,On structural speed limit of 25 km/h.,On being equipped with an additional hydraulic brake.,On a permit to transport passengers for tourist purposes.,Welcher Vermerk ist im Fahrzeugschein erforderlich  damit eine landwirtschaftliche Zugmaschine  die zu einer Wegebahn gehört  eine Zulassung zum Betrieb bekommen kann?,Über die bauartbedingte Begrenzung der Höchstgeschwindigkeit bis 25 km/h.,Über die Ausstattung mit einer hydraulischen Bremsanlage.,Über die Zulassung zum touristischen Personentransport.,,,,,"<img src=""4C204.jpg"">"
1898,7191,Który z dokumentów jest wymagany do zarejestrowania ciągnika rolniczego?,Dowód opłacenia składki ubezpieczenia AC pojazdu.,Dowód własności pojazdu.,Oświadczenie właściciela o zapłaconym podatku.,B,4C206.jpg,T,,,,,Which of the following documents is required to register a tractor?,A certificate of payment of an accident (AC) insurance of the tractor.,The ownership title of the tractor.,A statement of the owner confirming the payment of the tax.,Welches von den nachstehend genannten Dokumenten ist für die Zulassung einer landwirtschaftlichen Zugmaschine erforderlich?,Beleg für den bezahlten Kaskoversicherungsbeitrag des Fahrzeugs.,Kfz-Eigentumsnachweis.,Erklärung des Eigentümers über die bezahlte Steuer.,,,,,"<img src=""4C206.jpg"">"
1899,7192,W jakim terminie należy przeprowadzać okresowe badanie techniczne przyczepy rolniczej podlegającej rejestracji?,Zawsze co 2 lata.,Przed upływem terminu podanego w dowodzie rejestracyjnym.,Tylko w sytuacji zatrzymania przez policjanta dowodu rejestracyjnego.,B,4C212.jpg,T,,,,,When must you conduct periodic technical inspection of a tractor trailer subject to registration?,Every 2 years.,Before the lapse of the deadline indicated in the registration card.,Only when the registration card is confiscated by a police officer.,Wann sind die periodischen technischen Untersuchungen eines zulassungspflichtigen landwirtschaftlichen Anhängers durchzuführen?,Alle 2 Jahre.,Vor dem Ablauf der im Fahrzeugschein angegebenen Frist.,Nur wenn der Polizist den Fahrzeugschein beschlagnahmt.,,,,,"<img src=""4C212.jpg"">"
1900,7198,Ile razy w tygodniu  dzienny czas prowadzenia pojazdu  kierowcy wykonującego przewóz drogowy  może zostać przedłużony do 10 godzin?,Raz w tygodniu.,Dwa razy w tygodniu.,Trzy razy w tygodniu.,B,5A306.jpg,C C1,pjm7198.webm,pjm7198a.webm,pjm7198b.webm,pjm7198c.webm,How many times a week may the daily driving time of a driver working in road transport be extended to 10 hours?,Once a week.,Twice a week.,Three times a week.,Wie oft pro Woche kann die Tageslenkzeit des Fahrers  der Straßentransporte durchführt  auf 10 Stunden verlängert werden?,Einmal pro Woche.,Zweimal pro Woche.,Dreimal pro Woche.,,,,,"<img src=""5A306.jpg"">"
1901,7199,Do jakiego rodzaju czynności kierowcy zalicza się nadzór nad wyładunkiem?,Przerwa w pracy.,Inna praca.,Okres gotowości.,B,5A334.jpg,C C1,pjm7199.webm,pjm7199a.webm,pjm7199b.webm,pjm7199c.webm,What type of driver's activity does supervision of unloading constitute?,A break in work.,Other type of work.,A standby period.,Zu welcher Tätigkeit des Fahrers gehört die Aufsicht über dem Entladen?,Arbeitspause.,Andere Arbeit.,Bereitschaftszeit.,,,,,"<img src=""5A334.jpg"">"
1902,7202,Czego możesz się spodziewać podczas gwałtownego hamowania w takich warunkach drogowych?,Zwiększonej przyczepności kół do jezdni.,Zwiększonej siły tarcia.,Zmniejszonej przyczepności kół do jezdni.,C,5B174.jpg,C C1,pjm7202.webm,pjm7202a.webm,pjm7202b.webm,pjm7202c.webm,What can you expect during sudden braking in these road conditions?,Increased traction of the wheels to the road.,Increased friction.,Decreased traction of the wheels to the road.,Was können Sie erwarten  wenn Sie bei solchen Straßenverhältnissen plötzlich bremsen?,Verbesserung der Bodenhaftung der Räder.,Erhöhung der Reibungskraft.,Verringerung der Bodenhaftung der Räder.,,,,,"<img src=""5B174.jpg"">"
1903,7210,Co stanowi obowiązkowe wyposażenie autobusu  którego dopuszczalna prędkość wynosi 100 km/h?,Opony o głębokości rzeźby bieżnika co najmniej 6 mm.,Apteczka doraźnej pomocy.,Trzypunktowe pasy bezpieczeństwa na wszystkich siedzeniach.,B,6A204.jpg,D D1,,,,,Which of the following elements constitute the equipment of a bus whose permissible speed limit is 100 km/h?,Tyres with a tread of at least 6 mm.,A first aid kit.,Three-point safety belts on all seats.,Mit welchem von den nachstehend genannten Elementen muss ein Bus ausgestattet sein  dessen zulässige Höchstgeschwindigkeit 100 km/h beträgt?,Reifen mit einer Profiltiefe von mindestens 6 mm.,Verbandkasten.,3-Punkt-Sicherheitsgurte für alle Sitze.,,,,,"<img src=""6A204.jpg"">"
1904,7211,Jakiej prędkości nie pozwala przekroczyć homologowany ogranicznik prędkości  w który jest wyposażony autobus?,100 km/h.,90 km/h.,85 km/h.,A,6A205.jpg,D D1,,,,,What is the maximum speed set by a certified speed limiter  which forms a part of the equipment of a bus?,100 km/h.,90 km/h.,85 km/h.,Welche Geschwindigkeit lässt ein genehmigter Geschwindigkeitsbegrenzer  mit dem Busse ausgerüstet sind  nicht überschreiten?,100 km/h.,90 km/h.,85 km/h.,,,,,"<img src=""6A205.jpg"">"
1905,7213,Do ilu godzin maksymalnie możesz przedłużyć dzienny czas prowadzenia pojazdu wykonując przewóz drogowy?,Do 10 godzin.,Do 11 godzin.,Do 12 godzin.,A,6A307.jpg,D D1,,,,,What is the maximum number of hours by which the daily period of driving of a vehicle performing road transport maybe extended?,Up to 10 hours.,Up to 11 hours.,Up to 12 hours.,Bis zu wieviel Stunden können Sie die Tageslenkzeit bei Durchführung der Straßentransporte höchstens verlängern?,Bis 10 Stunden.,Bis 11 Stunden.,Bis 12 Stunden.,,,,,"<img src=""6A307.jpg"">"
1906,7214,Do jakiego rodzaju czynności kierowcy zalicza się sprawdzanie i kompletowanie dokumentów dotyczących przewozu?,Inna praca.,Okres gotowości.,Przerwa w pracy.,A,6A339.jpg,D D1,,,,,What type of a driver's work is the checking and gathering of documents concerning the transport?,Other work.,A standby period.,A break in work.,Zu welchen Tätigkeiten des Fahrers gehört die Prüfung und das Zusammenstellen der Papiere  die den Transport betreffen?,Andere Arbeit.,Bereitschaftszeit.,Arbeitspause.,,,,,"<img src=""6A339.jpg"">"
1907,7215,Jak powinieneś kierować autobusem podczas jazdy po łuku drogi?,Płynnie korygować tor jazdy uwzględniając krzywiznę łuku.,Pokonywać łuk z wciśniętym pedałem sprzęgła.,Utrzymywać maksymalne obroty silnika na całej długości łuku.,A,6B309.jpg,D D1,,,,,How should you drive a bus on a bend of the road?,Smoothly adjust the trajectory  taking into account the angle of the bend.,Follow the bend with the clutch pedal pressed down.,Maintain the maximum RPM along the whole length of the bend.,Wie sollten Sie den Bus beim Kurvenfahren führen?,Die Fahrlinie sanft korrigieren und die Krümmung dabei berücksichtigen.,Mit getretener Kupplung durch die Kurve fahren.,Mit der maximalen Drehzahl durch die ganze Kurve fahren.,,,,,"<img src=""6B309.jpg"">"
1908,7216,Jaki rodzaj oleju silnikowego należy stosować do silników wysokoprężnych wykorzystywanych w autobusach?,Dowolny.,Dobrany w zależności od temperatury silnika.,Określony przez producenta autobusu.,C,6C304.jpg,D D1,,,,,What type of engine oil should you use in diesel engines used in buses?,Any type.,Selected depending on engine temperature.,As specified by the bus manufacturer.,Welches Öl ist für Hochdruckmotoren  die bei Bussen eingesetzt werden  zu verwenden?,Ein beliebiges Öl.,Ein je nach der Temperatur des Motors gewähltes Öl.,Das vom Hersteller des Busses angegebene Öl.,,,,,"<img src=""6C304.jpg"">"
1909,7217,Jaki olej należy zastosować w celu uzupełnienia stanu oleju  znajdującego się w silniku autobusu?,O znacznie zwiększonej lepkości w stosunku do znajdującego się w silniku.,Takiej samej klasy  jaki znajduje się w silniku.,Dowolnym.,B,6C305.jpg,D D1,,,,,What oil should be used to top up oil in a bus engine?,Oil characterised by significantly higher stickiness than the oil in the engine.,Oil of the same class as the oil in the engine.,Any type of oil.,Welches Öl ist zum Nachfüllen beim Bus zu verwenden?,Mit höherer Viskosität als das im Motor vorhandene Öl.,Derselben Kategorie  wie das im Motor vorhandene Öl.,Beliebiges Öl.,,,,,"<img src=""6C305.jpg"">"
1910,7218,Czy w tej sytuacji za tym znakiem masz obowiązek sygnalizowania zamiaru zmiany pasa ruchu?,,,,Tak,1A1333a.webm,AM,,,,,If you change lanes once you go past this sign  are you obliged to indicate your intention of making such a manoeuvre?,,,,Sind Sie verpflichtet beim Fahrstreifenwechsel hinter diesem Verkehrszeichen dies anzukündigen?,,,,,,,,"<video src=""1A1333a.webm"" controls>"
1911,7219,Czy w tej sytuacji kontynuując jazdę masz obowiązek sygnalizować zamiar zmiany pasa ruchu?,,,,Tak,1A1323a.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7219.webm,,,,In this situation  as you continue driving  are you obliged to indicate your intention of changing lanes?,,,,Sind Sie verpflichtet in dieser Situation  wenn Sie weiterfahren  die Absicht des Streifenwechsels anzukündigen?,,,,Чи зобов’язані Ви у цій ситуації  якщо Ви продовжуєте рух  сигналізувати про намір змінити смугу?,,,,"<video src=""1A1323a.webm"" controls>"
1912,7221,Czy w tej sytuacji możesz ominąć pojazd  który zatrzymał się  aby przepuścić pieszego?,,,,Nie,1A1108a.webm,A B C D T AM A1 A2 B1 C1 D1,pjm7221.webm,,,,In this situation  can you bypass the car which has stopped in order to give way to a pedestrian?,,,,Dürfen Sie in dieser Situation dem Fahrzeug vorbeifahren  das angehalten hat  um einen Fußgänger vorbei zu lassen?,,,,Чи можна в цій ситуації обминути (об’їхати) автомобіль  який зупинився  щоб пропустити пішохода?,,,,"<video src=""1A1108a.webm"" controls>"
1913,7223,Czy przejeżdżając obok tego przystanku tramwajowego  masz obowiązek zachować szczególną ostrożność?,,,,Tak,AK_D10_28_org.webm,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you obliged to exercise particular caution when passing the tram stop situated as shown?,,,,Sind Sie dazu verpflichtet  beim Vorbeifahren an der so gelegenen Straßenbahnhaltestelle besonders vorsichtig zu sein?,,,,Чи потрібно бути особливо обережним  проїжджаючи повз цю трамвайну зупинку?,,,,"<video src=""AK_D10_28_org.webm"" controls>"
1914,7224,Czy w tej sytuacji wolno Ci wjechać za sygnalizator  jeżeli zatrzymanie się przed nim wymaga gwałtownego hamowania?,,,,Tak,1A311.webm,A B C D T A1 A2 B1 C1 D1,,,,,"In this situation  can you drive past the traffic lights  if stopping in front of them would require rapid braking? 
",,,,Dürfen Sie in dieser Situation hinter die Lichtzeichenanlage einfahren  wenn das Anhalten vor ihr ein scharfes Bremsen erfordern würde?,,,,Чи дозволено Вам у цій ситуації проїхати за світлофор  якщо зупинка перед ним вимагає різкого гальмування?,,,,"<video src=""1A311.webm"" controls>"
1915,7225,Czy przyczepa specjalna  przystosowana wyłącznie do ciągnięcia przez ciągnik rolniczy lub pojazd wolnobieżny  wymaga rejestracji?,Tak.,Nie.,Tak  jeśli podlega corocznemu badaniu technicznemu.,B,4C207.jpg,T,,,,,Does a special trailer  designed only to be pulled by a tractor or a slow-moving vehicle  require registration?,Yes.,No.,Yes  if it is subject to annual technical check-up.,Bedarf der Sonderanhänger  der zum Ziehen durch eine landwirtschaftliche Zugmaschine oder ein langsam laufendes Fahrzeug geeignet ist  einer Zulassung?,Ja.,Nein.,Ja  wenn er der alljährlichen Hauptuntersuchung unterliegt.,,,,,"<img src=""4C207.jpg"">"
1916,7230,Czy w tej sytuacji  powinieneś wziąć pod uwagę możliwość wtargnięcia pieszych na jezdnię?,,,,Tak,3444orgbm.jpg,A B AM A1 A2 B1,pjm7230.webm,,,,Should you take into consideration the probability of the pedestrian bursting onto the road in this situation?,,,,Soll man in der dargestellten Situation damit rechnen  dass Jugendliche auf die Fahrbahn eindringen?,,,,Чи потрібно враховувати ймовірність виходу пішоходів на проїжджу частину в такій ситуації?,,,,"<img src=""3444orgbm.jpg"">"
1917,7231,Czy podczas wyprzedzania rowerzysty  w warunkach zmniejszonej przejrzystości powietrza  poza obszarem zabudowanym  powinieneś używać krótkotrwałych sygnałów dźwiękowych?,,,,Tak,1B356.jpg,B C D T A2 B1 C1 D1,pjm7231.webm,,,,"While overtaking a cyclist in conditions of limited visibility  outside a built-up area  should you use short horn signals? 
",,,,Sollen Sie beim Überholen des Radfahrers außerhalb geschlossener Ortschaft bei beschränkter Sichtweite kurze Schallzeichen verwenden?,,,,Чи потрібно  обганяючи велосипедиста  в умовах зниженої прозорості повітря  поза населеними пунктами подавати короткочасні звукові сигнали?,,,,"<img src=""1B356.jpg"">"
